name,red,green,blue,hex
BACKGROUND,00,00,00,#000000
FOREGROUND,242,244,248,#f2f4f8
REGULAR_BLACK,22,22,22,#161616
REGULAR_RED,238,83,150,#ee5396
REGULAR_GREEN,55,79,73,#374f49
REGULAR_YELLOW,255,111,0,#ff6f00
REGULAR_BLUE,51,177,255,#33b1ff
REGULAR_MAGENTA,103,58,183,#673ab7
REGULAR_CYAN,8,189,186,#08bdba
REGULAR_WHITE,144,164,174,#90a4ae
BRIGHT_BLACK,57,57,57,#393939
BRIGHT_RED,255,126,182,#ff7eb6
BRIGHT_GREEN,66,190,101,#42be65
BRIGHT_YELLOW,255,171,145,#ffab91
BRIGHT_BLUE,120,169,255,#78a9ff
BRIGHT_MAGENTA,190,149,255,#be95ff
BRIGHT_CYAN,61,219,217,#3ddbd9
BRIGHT_WHITE,221,225,230,#dde1e6
